Date,Open,High,Low,Close,Adj Close,Volume
2015-11-24,25640,26100,25640,25980,262.204163,7978000
2015-11-25,26000,26200,25980,25980,262.204163,7131350
2015-11-26,25980,26800,25980,26700,269.470734,9290000
2015-11-27,26900,26980,26540,26540,267.855957,8492700
2015-11-30,26500,26500,25680,25680,259.176392,26700300
2015-12-01,25880,26440,25760,26420,266.644897,12605650
2015-12-02,26420,26440,25880,26000,262.406006,11481400
2015-12-03,25900,25940,25720,25800,260.387482,8334750
2015-12-04,25500,25600,25340,25380,256.148621,9635550
2015-12-07,25380,25500,25240,25240,254.735657,9805350
2015-12-08,25240,25440,25240,25240,254.735657,6916100
2015-12-09,25240,25500,25240,25260,254.9375,9090600
2015-12-10,25260,25860,25260,25660,258.974518,15193350
2015-12-11,25660,25900,25440,25680,259.176392,10336450
2015-12-14,25460,25460,25100,25220,254.533798,11140050
2015-12-15,25220,25600,25200,25540,257.763428,8774700
2015-12-16,25560,26200,25560,25980,262.204163,10398100
2015-12-17,26020,26160,25500,25800,260.387482,8733850
2015-12-18,25300,25760,25280,25560,257.965271,8418450
2015-12-21,25560,25700,25220,25600,258.368958,8023300
2015-12-22,25600,25840,25340,25840,260.791168,10309600
2015-12-23,25840,25980,25640,25900,261.396729,10357400
2015-12-24,25900,26000,25700,25700,259.378235,7807550
2015-12-28,25700,25780,25320,25320,255.543076,11361500
2015-12-29,25300,25320,24820,25080,1204.702881,11647200
2015-12-30,25200,25440,25080,25200,1210.466919,10197900
2016-01-04,25200,25200,24100,24100,1157.62915,15346950
2016-01-05,24040,24360,23720,24160,1160.51123,10800100
2016-01-06,24160,24160,23360,23500,1128.80835,18337600
2016-01-07,23320,23660,23020,23260,1117.280273,14119400
2016-01-08,23260,23720,23260,23420,1124.965698,12888150
2016-01-11,23120,23320,22920,23040,1106.712646,12063850
2016-01-12,22960,23320,22880,22920,1100.948608,10314150
2016-01-13,23060,23180,22960,22960,1102.869751,7165800
2016-01-14,22620,22840,22620,22760,1093.263062,10451100
2016-01-15,22800,23040,22480,22640,1087.498779,10473200
2016-01-18,21760,22660,21760,22520,1081.734741,16010700
2016-01-19,22560,23420,22560,23420,1124.965698,10362100
2016-01-20,23200,23200,22640,22760,1093.263062,8352600
2016-01-21,22660,23100,22500,22620,1086.53833,9517600
2016-01-22,22900,23360,22900,23360,1122.08374,7376400
2016-01-25,23440,23520,23120,23240,1116.31958,7995650
2016-01-26,23100,23140,22720,22740,1092.302368,7619950
2016-01-27,22520,23500,22520,23500,1128.80835,13811850
2016-01-28,23280,23360,22780,22900,1099.987793,15795600
2016-01-29,22800,23000,22320,23000,1104.791382,21849150
2016-02-01,23040,23260,23020,23260,1117.280273,12998950
2016-02-02,23220,23320,22940,23120,1110.55542,8317400
2016-02-03,23000,23040,22740,22920,1100.948608,8725350
2016-02-04,23000,23220,22960,23120,1110.55542,12397950
2016-02-05,23120,23380,23120,23280,1118.240845,9404700
2016-02-11,22360,22740,22360,22600,1085.577515,15263100
2016-02-12,22600,23020,22440,22600,1085.577515,12811600
2016-02-15,23080,23200,22880,23080,1108.633911,9157300
2016-02-16,23160,23580,23140,23360,1122.08374,9020050
2016-02-17,23580,24020,23380,23700,1138.415283,12303100
2016-02-18,24060,24060,23560,23740,1140.33667,11124050
2016-02-19,23740,23900,23480,23800,1143.218872,8842600
2016-02-22,23800,23840,23320,23500,1128.80835,8744950
2016-02-23,23580,23780,23460,23620,1134.572632,7383700
2016-02-24,23560,23580,23220,23440,1125.926514,7024200
2016-02-25,23440,23740,23440,23580,1132.651245,6681750
2016-02-26,23600,23740,23440,23440,1125.926514,8867200
2016-02-29,23580,23880,23520,23560,1131.69043,14434000
2016-03-02,24000,24140,23920,23940,1149.943604,11818600
2016-03-03,24260,24400,24040,24400,1172.039429,10949550
2016-03-04,24400,24560,24040,24300,1167.236084,10074500
2016-03-07,24400,24620,24300,24460,1174.921631,6568800
2016-03-08,24460,24480,23720,23840,1145.140137,10810100
2016-03-09,23760,23980,23540,23880,1147.061523,9169000
2016-03-10,24160,24720,24020,24500,1176.843018,14177000
2016-03-11,24500,25060,24320,24980,1199.899536,13361250
2016-03-14,25340,25460,24980,25100,1205.663696,10857700
2016-03-15,25100,25280,24920,25060,1203.742188,8640400
2016-03-16,25120,25260,25060,25120,1206.624146,7342800
2016-03-17,25300,25920,25140,25260,1213.348999,12343450
2016-03-18,25560,25560,25260,25460,1222.955933,11265700
2016-03-21,25480,25580,25160,25340,1217.191895,9058500
2016-03-22,25340,25580,25240,25380,1219.113159,10143600
2016-03-23,25380,25580,25240,25580,1228.719971,9870900
2016-03-24,25580,25800,25320,25640,1231.602173,10939750
2016-03-25,25660,25800,25560,25760,1237.366333,7172300
2016-03-28,25760,26000,25760,25880,1243.130493,6060900
2016-03-29,25880,26000,25700,25800,1239.28772,8622700
2016-03-30,26200,26420,26040,26160,1256.579956,13380250
2016-03-31,26120,26280,25960,26240,1260.422729,19130750
2016-04-01,25980,26180,25420,25580,1228.719971,13557800
2016-04-04,25580,26100,25580,26100,1253.697998,9402300
2016-04-05,25980,25980,25200,25200,1210.466919,11815950
2016-04-06,25380,25820,25360,25700,1234.484253,9211700
2016-04-07,26000,26000,25160,25380,1219.113159,12939750
2016-04-08,25380,25380,24800,24920,1197.017212,12593400
2016-04-11,24920,25420,24920,25320,1216.231201,6034650
2016-04-12,25400,25620,25320,25500,1224.877319,6702700
2016-04-14,26000,26040,25780,26000,1248.894531,16766350
2016-04-15,26180,26200,25800,26000,1248.894531,6829950
2016-04-18,25900,26100,25840,25980,1247.933838,6423700
2016-04-19,25880,25920,25660,25760,1237.366333,7238300
2016-04-20,25640,26000,25640,25980,1247.933838,8598600
2016-04-21,26000,26020,25760,25880,1243.130493,7254450
2016-04-22,25880,25880,25540,25600,1229.680786,5741500
2016-04-25,25700,25700,25420,25620,1230.641602,4597850
2016-04-26,25700,26100,25660,25920,1245.051758,8345050
2016-04-27,25880,26000,25720,26000,1248.894531,8297300
2016-04-28,26000,26000,25220,25300,1215.270386,14653450
2016-04-29,25200,25340,24840,24900,1196.056763,16253900
2016-05-02,24940,25240,24900,25000,1200.860107,7027600
2016-05-03,25340,25400,25120,25220,1211.427612,7903300
2016-05-04,25440,25800,25240,25800,1239.28772,14702750
2016-05-09,25800,26000,25700,25980,1247.933838,13718100
2016-05-10,25980,26000,25760,25920,1245.051758,8559550
2016-05-11,25920,25980,25740,25840,1241.208984,8834400
2016-05-12,25840,25840,25500,25620,1230.641602,7615100
2016-05-13,25620,25620,25020,25060,1203.742188,12284900
2016-05-16,25060,25260,24940,24960,1198.938843,11720150
2016-05-17,24980,25300,24980,25280,1214.309814,9183550
2016-05-18,25280,25420,25100,25360,1218.152344,9169600
2016-05-19,25360,25540,25320,25400,1220.073975,10012450
2016-05-20,25400,25600,25380,25380,1219.113159,7960550
2016-05-23,25380,25720,25380,25720,1235.444946,8112550
2016-05-24,25720,25780,25360,25420,1221.034668,10434600
2016-05-25,25660,25960,25480,25900,1244.091064,11862750
2016-05-26,25980,26060,25900,25920,1245.051758,12653650
2016-05-27,26000,26020,25460,25640,1231.602173,13744550
2016-05-30,25940,25940,25480,25600,1229.680786,10315350
2016-05-31,25600,26000,25360,25840,1241.208984,62527700
2016-06-01,25960,26820,25900,26660,1280.597046,23504000
2016-06-02,27000,27440,26920,27300,1311.339478,23806950
2016-06-03,27400,27580,27280,27540,1322.86731,17066200
2016-06-07,27720,28040,27600,27960,1343.041992,23142150
2016-06-08,28380,28380,27780,28120,1350.727417,18808100
2016-06-09,28160,28600,28120,28600,1373.783936,25768750
2016-06-10,28480,28500,28080,28120,1350.727417,14484050
2016-06-13,27920,27920,27240,27420,1317.103394,15248300
2016-06-14,27420,27720,27380,27600,1325.749634,12273050
2016-06-15,27700,28320,27660,28260,1357.452515,15334450
2016-06-16,28260,28340,27900,28180,1353.609497,14621550
2016-06-17,28200,28700,28200,28520,1369.941284,16419700
2016-06-20,28540,28960,28520,28620,1374.744751,13515800
2016-06-21,28640,28980,28520,28960,1391.07605,10020550
2016-06-22,28920,29000,28620,28900,1388.194214,8948250
2016-06-23,28880,28900,28540,28600,1373.783936,11256300
2016-06-24,28900,28900,27200,28000,1344.963257,20552600
